station_code,tier_cm,started_at,ended_at,duration_minutes,n_readings,peak_depth_cm,n_excursions_merged,year
FL.LSI.03,5.0,2019-08-16 22:40:00,2019-08-17 02:45:00,250,50,15.4,1,2019
FL.LSI.03,5.0,2019-08-18 09:20:00,2019-08-18 09:55:00,40,8,12.4,1,2019
FL.LSI.03,5.0,2019-08-20 00:05:00,2019-08-20 02:10:00,130,26,10.6,1,2019
FL.LSI.03,5.0,2019-08-20 15:45:00,2019-08-20 17:30:00,110,22,9.7,1,2019
FL.BKN.01,5.0,2019-08-20 16:05:00,2019-08-20 16:20:00,20,4,12.5,1,2019
FL.CTC.02,5.0,2019-08-20 16:05:00,2019-08-20 16:15:00,15,3,6.8,1,2019
FL.PYT.07,5.0,2019-08-20 16:10:00,2019-08-20 16:15:00,10,2,7.1,1,2019
FL.DDG.06,5.0,2019-08-20 16:15:00,2019-08-20 16:25:00,15,3,6.0,1,2019
FL.LSI.03,5.0,2019-08-21 18:40:00,2019-08-21 21:25:00,170,34,8.6,1,2019
FL.LSI.03,5.0,2019-08-22 18:00:00,2019-08-23 00:40:00,405,81,11.3,1,2019
FL.LSI.03,5.0,2019-08-24 16:55:00,2019-08-24 19:10:00,140,28,9.7,1,2019
FL.LSI.03,5.0,2019-08-25 17:45:00,2019-08-25 20:15:00,155,31,10.8,1,2019
FL.LSI.03,5.0,2019-08-25 23:15:00,2019-08-26 07:45:00,515,103,11.4,1,2019
FL.LSI.03,5.0,2019-08-26 15:35:00,2019-08-26 21:00:00,330,66,11.9,1,2019
FL.SLG.03,5.0,2019-08-27 02:25:00,2019-08-27 13:00:00,640,83,8.0,8,2019
FL.KSN.01,5.0,2019-09-01 16:10:00,2019-09-01 16:15:00,10,2,5.5,1,2019
FL.PWT.02,5.0,2019-09-01 16:55:00,2019-09-01 17:00:00,10,2,6.8,1,2019
FL.BNA.03,5.0,2019-09-03 13:50:00,2019-09-03 14:20:00,35,7,8.3,1,2019
FL.BBN.01,5.0,2019-09-08 16:35:00,2019-09-08 16:45:00,15,3,10.7,1,2019
FL.BNA.03,5.0,2019-09-08 17:05:00,2019-09-08 18:00:00,60,12,9.1,1,2019
FL.BBN.01,5.0,2019-09-09 14:35:00,2019-09-09 15:00:00,30,6,12.9,1,2019
FL.CTC.07,5.0,2019-09-14 17:25:00,2019-09-14 18:20:00,60,12,18.5,1,2019
FL.CTC.06,5.0,2019-09-14 17:30:00,2019-09-14 17:45:00,20,4,5.8,1,2019
FL.CTC.01,5.0,2019-09-14 17:35:00,2019-09-14 18:15:00,45,9,9.6,1,2019
FL.SLG.03,5.0,2019-09-14 17:35:00,2019-09-14 20:45:00,195,39,39.5,1,2019
FL.DDG.02,5.0,2019-09-14 17:40:00,2019-09-14 18:35:00,60,12,16.1,1,2019
FL.DDG.06,5.0,2019-09-14 17:40:00,2019-09-14 18:15:00,40,8,15.6,1,2019
FL.SLG.02,5.0,2019-09-14 17:45:00,2019-09-14 20:40:00,180,36,26.2,1,2019
FL.DDG.01,5.0,2019-09-14 18:00:00,2019-09-14 18:05:00,10,2,6.9,1,2019
FL.BKN.01,5.0,2019-09-14 18:05:00,2019-09-14 18:50:00,50,10,17.2,1,2019
FL.KTY.04,5.0,2019-09-14 18:10:00,2019-09-14 18:35:00,30,6,7.9,1,2019
FL.SPW.01,5.0,2019-09-14 18:10:00,2019-09-14 18:40:00,35,7,12.9,1,2019
FL.SPW.02,5.0,2019-09-14 18:10:00,2019-09-14 18:50:00,45,9,11.4,1,2019
