dataset,year,station_code,station_name,rows,expected_rows,row_completeness_pct,n_timestamps,duplicate_timestamps,ts_min,ts_max,primary_column,null_pct,sensor_effectively_offline
rain,2019,RF.TBR.03,สถานีสูบน้ำ ดาวคะนอง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TKU.01,สำนักงานเขตทุ่งครุ,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TKU.02,ประตูระบายน้ำ คลองรางจาก ตอนถนนประชาอุทิศ,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TLC.01,สำนักงานเขตตลิ่งชัน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TLC.02,ประตูระบายน้ำ คลองบัว ตอนทางรถไฟสายใต้,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TLC.03,สถานีสูบน้ำ คลองชักพระ,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TWW.01,สำนักงานเขตทวีวัฒนา,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TWW.02,ประตูระบายน้ำ คลองทวีวัฒนา,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TWW.03,ประตูระบายน้ำ คลองขุนศรีบุรีรักษ์ ตอนคลองมหาสวัสดิ์,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.TWW.04,จุดวัดคลองทวีวัฒนา ตอนคลองบางเชือกหนัง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.WTL.01,สำนักงานเขตวังทองหลาง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.WTL.02,ประตูระบายน้ำ คลองลาดพร้าว,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.WTL.03,สถานีสูบน้ำ คลองเจ้าคุณสิงห์,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.WTN.01,สำนักงานเขตวัฒนา,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.WTN.02,สถานีสูบน้ำ คลองแสนแสบตอนคลองตัน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.YNW.01,สำนักงานเขตยานนาวา,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.YNW.02,สถานีสูบน้ำ คลองช่องนนทรี,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2019,RF.YNW.03,ประตูระบายน้ำ คลองวัดด่าน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.BBN.01,สำนักงานเขตบางบอน,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.02,False
rain,2020,RF.BBN.02,จุดวัดคลองบางบอน ตอนคลองสะแกงาม,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.002,False
rain,2020,RF.BKA.01,สำนักงานเขตบางเขน,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.099,False
rain,2020,RF.BKA.02,จุดวัดคลองบางบัว,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.BKE.01,สำนักงานเขตบางแค,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.BKE.02,จุดวัดคลองราชมนตรี ตอนคลองภาษีเจริญ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.002,False
rain,2020,RF.BKE.03,สถานีสูบน้ำคลองบางจาก,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.002,False
rain,2020,RF.BKE.04,บ่อสูบน้ำหมู่บ้านเศรษฐกิจ ซอย 26,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.019,False
rain,2020,RF.BKL.01,สำนักงานเขตบางคอแหลม,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.1,False
rain,2020,RF.BKL.02,สถานีสูบน้ำ คลองวัดไทร,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.BKM.01,สำนักงานเขตบึงกุ่ม,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.049,False
rain,2020,RF.BKN.01,สำนักงานเขตบางกอกน้อย,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.014,False
rain,2020,RF.BKN.02,สถานีสูบน้ำ คลองมอญ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.002,False
rain,2020,RF.BKP.02,จุดวัดคลองแสนแสบ ตอนสำนักงานเขตบางกะปิ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.004,False
rain,2020,RF.BKT.01,สำนักงานเขตบางขุนเทียน,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.029,False
rain,2020,RF.BKT.02,สถานีสูบน้ำ คลองเลนเปน,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.004,False
rain,2020,RF.BKT.03,สถานีสูบน้ำ คลองระหาญ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.005,False
rain,2020,RF.BKT.04,สถานีสูบน้ำ คลองพระยาราชมนตรี,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.005,False
rain,2020,RF.BKT.05,สถานีสูบน้ำ คลองสนามชัย,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.004,False
rain,2020,RF.BKY.01,สำนักงานเขตบางกอกใหญ่,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.091,False
rain,2020,RF.BKY.02,สถานีสูบน้ำ คลองบางกอกใหญ่,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.002,False
rain,2020,RF.BNA.01,สำนักงานเขตบางนา,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.038,False
rain,2020,RF.BNA.02,สถานีสูบน้ำ บางนา,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.002,False
rain,2020,RF.BNA.03,จุดวัดคลองบางนา ตอนถนนศรีนครินทร์,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.018,False
rain,2020,RF.BPD.01,สำนักงานเขตบางพลัด,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.033,False
rain,2020,RF.BRK.01,สำนักงานเขตบางรัก,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.028,False
rain,2020,RF.BRK.02,สถานีสูบน้ำ กรุงเกษม,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.BSU.01,สำนักงานเขตบางซื่อ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.517,False
rain,2020,RF.BSU.02,สถานีสูบน้ำ คลองบางเขนใหม่,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.BSU.03,สถานีสูบน้ำ คลองบางซื่อ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.BSU.04,บ่อสูบน้ำสะพานขวา ถนนประชาราษฎร์ สาย 2,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.015,False
rain,2020,RF.CTC.01,บ่อสูบน้ำศาลอาญา ถนนรัชดาภิเษก,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.349,False
rain,2020,RF.CTC.02,สถานีสูบน้ำ รัชดา-วิภาวดี,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,1.14,False
rain,2020,RF.CTC.03,จุดวัดถนนเทศบาลสงเคราะห์,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.014,False
rain,2020,RF.DDG.02,ศูนย์ควบคุมระบบป้องกันน้ำท่วมกรุงเทพมหานคร สำนักการระบายน้ำ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.01,False
rain,2020,RF.DMG.01,สำนักงานเขตดอนเมือง,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.05,False
rain,2020,RF.DST.01,สำนักงานเขตดุสิต,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.166,False
rain,2020,RF.DST.02,สถานีสูบน้ำ สามเสน,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.HKG.01,สำนักงานเขตห้วยขวาง,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.032,False
rain,2020,RF.HKG.02,สถานีสูบน้ำ สามเสน ตอนคลองแสนแสบ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.JTG.01,สำนักงานเขตจอมทอง,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.029,False
rain,2020,RF.JTG.02,จุดวัดคลองสนามชัย ตอนคลองบางขุนเทียน,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.003,False
rain,2020,RF.JTG.03,สถานีสูบน้ำ คลองสี่บาท,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.857,False
rain,2020,RF.KNY.02,จุดวัดคลองลำชะล่า ตอนถนนนวมินทร์,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.001,False
rain,2020,RF.KSN.01,สำนักงานเขตคลองสาน,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.032,False
rain,2020,RF.KSN.02,สถานีสูบน้ำ คลองบางไส้ไก่,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.001,False
rain,2020,RF.KSW.01,สำนักงานเขตคลองสามวา,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.044,False
rain,2020,RF.KSW.02,ประตูระบายน้ำ คลองสามวา,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.KSW.03,จุดวัดคลองเก้า ตอนวัดศรีสุขสถาพร,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.001,False
rain,2020,RF.KTY.01,สำนักงานเขตคลองเตย,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.218,False
rain,2020,RF.KTY.02,สถานีสูบน้ำ พระราม 4,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.241,False
rain,2020,RF.KTY.03,สถานีสูบน้ำ พระโขนง,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.KTY.04,สถานีสูบน้ำ คลองเตย,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.001,False
rain,2020,RF.KTY.05,สถานีวัดน้ำฝน อุทยานเบญจสิริ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.011,False
rain,2020,RF.LKB.02,ประตูระบายน้ำ คลองประเวศบุรีรมย์ ตอนลาดกระบัง,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.LKB.03,จุดวัดคลองประเวศบุรีรมย์ ตอน รพ.ลาดกระบัง,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.001,False
rain,2020,RF.LKB.04,จุดวัดคลองประเวศบุรีรมย์ ตอนถนนร่วมพัฒนา,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.004,False
rain,2020,RF.LPW.01,สำนักงานเขตลาดพร้าว,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.033,False
rain,2020,RF.LSI.01,สำนักงานเขตหลักสี่,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.053,False
rain,2020,RF.LSI.02,สถานีสูบน้ำ คลองตาอูฐ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
rain,2020,RF.LSI.03,จุดวัดศูนย์ราชการ-ถนนแจ้งวัฒนะ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.024,False
rain,2020,RF.MBR.01,สำนักงานเขตมีนบุรี,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.287,False
rain,2020,RF.MBR.02,ประตูระบายน้ำ คลองแสนแสบ ตอนถนนประชาร่วมใจ,105408,105408,100.0,105408,0,2020-01-01,2020-12-31 23:55:00,rf1hr,0.0,False
