station,rows,ts_min,ts_max,n_ts,name,n_wl_in,min_wl_in,max_wl_in,avg_wl_in,n_wl_out01,min_wl_out01,max_wl_out01,avg_wl_out01,n_wl_out02,min_wl_out02,max_wl_out02,avg_wl_out02,year,dataset
WL.KMN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองมอญ,105120,-0.92,0.96,0.2471272831,105120,-1.03,1.63,0.3733226788,0,,,,2019,water
WL.KNB.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองหนองบอน ตอนอ่อนนุช 66 ซอย 13,101100,-3.0,3.09,0.7703221563,0,,,,0,,,,2019,water
WL.KNB.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองหนองบอน ตอนถนนเฉลิมพระเกียรติรัชกาลที่ 9,104966,-0.69,0.52,-0.4134295867,0,,,,0,,,,2019,water
WL.KPG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเป้ง ตอนซอยเอกมัย 23,101923,-1.88,-0.36,-1.1581108288,0,,,,0,,,,2019,water
WL.KPM.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเปรมประชากร ช่วงสถานีน้ำอุโมงค์คลองเปรมประชากร,105120,-0.81,0.47,-0.2299882991,0,,,,0,,,,2019,water
WL.KPM.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเปรมประชากร ตอนถนนรัชดาภิเษก,104976,-1.74,0.56,-0.2086190177,0,,,,0,,,,2019,water
WL.KPM.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเปรมประชากร ช่วงวัดเทวสุนทร,105120,-0.51,0.68,-0.1126749429,0,,,,0,,,,2019,water
WL.KPM.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,คลองเปรมประชากร ตอนคลองบางตลาด*,96627,-3.0,0.95,0.1442713734,0,,,,0,,,,2019,water
WL.KPM.05,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเปรมประชากร ตอนถนนสรงประภา,98789,0.05,3.58,0.3019819008,0,,,,0,,,,2019,water
WL.KPM.06,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเปรมประชากร ตอนคลองบ้านใหม่,105120,0.15,1.61,0.4955367199,0,,,,0,,,,2019,water
WL.KSG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองสอง ตอนถนนพหลโยธิน,97312,-0.23,3.55,0.0609775773,0,,,,0,,,,2019,water
WL.KSI.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองสี่ ตอนถนนสุวินทวงศ์,104763,-0.82,0.65,-0.2328651337,0,,,,0,,,,2019,water
WL.KSI.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองสี่ ตอนถนนเจ้าคุณทหาร,104935,-1.75,-0.32,-1.0895373326,0,,,,0,,,,2019,water
WL.KSK.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,"""จุดวัดคลองขุนสกล ตอนซอยศรีนครินทร์ 36 """,90402,-3.0,3.0,-0.5478190748,0,,,,0,,,,2019,water
WL.KSM.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองสาม ตอนร่มเกล้า 17,104967,-0.93,3.56,-0.3833496242,0,,,,0,,,,2019,water
WL.KSM.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองสาม ตอนมอเตอร์เวย์,104966,-0.84,0.48,-0.2138054227,0,,,,0,,,,2019,water
WL.KSO.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองซอย ตอนถนนบรมราชชนนี,103979,0.12,0.86,0.4697805326,0,,,,0,,,,2019,water
WL.KSO.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองซอย ตอนถนนศาลาธรรมสพน์,104972,0.1,0.82,0.462664139,0,,,,0,,,,2019,water
