station,rows,ts_min,ts_max,n_ts,name,n_flood,min_flood,max_flood,avg_flood,n_ge5,n_ge15,n_ge30,n_gt0,n_neg,year,dataset
FL.PPS.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.หลวง ช่วงวัดเทพศิรินทราวาส,105120,0.0,8.2,0.000585997,2,0,0,23,0,2019,flood
FL.PTW.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พระรามที่ 1 ช่วงสนามกีฬาแห่งชาติ,105120,0.0,9.1,0.0004023973,3,0,0,13,0,2019,flood
FL.PTW.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พญาไท ช่วงมาบุญครอง,105120,0.0,22.8,0.025119863,38,9,0,1018,0,2019,flood
FL.PTW.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พระรามที่ 1 ช่วงวัดปทุมวนาราม,105120,0.0,28.9,0.0013299087,2,1,0,32,0,2019,flood
FL.PTW.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พระรามที่ 4 หน้าวัน แบงค็อก,105120,0.0,2.7,0.0002435312,0,0,0,14,0,2019,flood
FL.PTW.05,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ราชดำริ หน้าโรงพยาบาลตำรวจ,105120,0.0,31.3,0.004598554,24,17,1,34,0,2019,flood
FL.PWT.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ศรีนครินทร์ ช่วงซีคอนสแควร์,105120,0.0,5.4,0.0265192161,2,0,0,1231,0,2019,flood
FL.PWT.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เฉลิมพระเกียรติ ร.9 ช่วงแยกศรีอุดม,105120,0.0,43.2,0.0806668569,311,209,75,3509,0,2019,flood
FL.PYT.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พหลโยธิน ช่วงหน้าสนามเป้า,105120,0.0,8.8,0.0068978311,5,0,0,256,0,2019,flood
FL.PYT.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พหลโยธิน ช่วงสะพานควาย,105120,0.0,34.0,0.0092246956,52,32,8,57,0,2019,flood
FL.PYT.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พระราม6 ช่วงทางด่วน,105120,0.0,10.7,0.0008761416,10,0,0,18,0,2019,flood
FL.PYT.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.สุทธิสารวินิจฉัย ซอย 19,105120,0.0,31.1,0.0122364916,59,29,1,246,0,2019,flood
FL.PYT.05,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พหลโยธิน ช่วงซอยสายลม,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.PYT.06,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ประดิพัทธ์ ช่วงสะพานควาย,105120,0.0,28.9,0.0220490868,43,26,0,2629,0,2019,flood
FL.PYT.07,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พหลโยธิน  ช่วงห้างบิ๊กซีสะพานควาย,105120,0.0,147.7,0.3807895738,911,384,308,1124,0,2019,flood
FL.RTW.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ศรีอยุธยา ช่วงถนนพญาไท,105120,0.0,36.0,0.0105726788,61,30,4,117,0,2019,flood
FL.RTW.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เพชรบุรี ช่วงหน้าดอนบอสโก,105120,0.0,6.6,6.27854e-05,1,0,0,1,0,2019,flood
FL.RTW.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เพชรบุรี ช่วงหน้าเมโทร,105120,0.0,27.7,0.0003652968,1,1,0,6,0,2019,flood
FL.RTW.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พญาไท ช่วงกรมปศุสัตว์,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.RTW.05,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พระรามที่ 6 ช่วงตลาดประแจจีน,105120,0.0,7.9,0.0324980974,25,0,0,993,0,2019,flood
FL.RTW.06,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ราชวิถี ช่วงสวนสันติภาพ,105120,0.0,8.8,0.0001607686,1,0,0,4,0,2019,flood
FL.RTW.07,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ศรีอยุธยา ช่วงโรงเรียนสันติราษฏร์วิทยาลัย,105120,0.0,24.9,0.0028614916,12,6,0,75,0,2019,flood
FL.RTW.08,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.นิคมมักกะสัน แยกราชปรารภ,105120,0.0,10.0,0.0004984779,6,0,0,6,0,2019,flood
FL.RTW.09,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.บรรทัดทอง ช่วงถนนเพชรบุรี,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.RTW.10,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ศรีอยุธยา ช่วงโรงเรียนศรีอยุธยา,105120,0.0,34.2,0.0102054795,51,40,5,55,0,2019,flood
FL.SLG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พัฒนาการ แยกศรีนครินทร์,105120,0.0,16.1,0.0134798326,118,1,0,209,0,2019,flood
FL.SLG.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.รามคำแหง ซอย 3,105120,0.0,29.3,0.0108009893,70,33,0,128,0,2019,flood
FL.SLG.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,"""ถ.พัฒนาการ ช่วงธนาคารกรุงไทย """,105120,0.0,39.5,0.0582990868,237,91,26,8482,0,2019,flood
FL.SMI.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พหลโยธิน ช่วงซอยพหลโยธิน 60/1,105120,0.0,51.5,0.0194634703,67,50,27,191,0,2019,flood
FL.SPW.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เจริญกรุง แยกแปลงนาม,105120,0.0,29.1,0.03991914,112,13,0,1275,0,2019,flood
FL.SPW.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เยาวราช ช่วงแยกราชวงศ์,105120,0.0,13.2,0.0033200152,36,0,0,45,0,2019,flood
FL.STN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.จันทน์ ซอย 28/2,105120,0.0,13.3,0.0117056697,4,0,0,488,0,2019,flood
FL.STN.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เซนต์หลุยส์ 3,105120,0.0,28.1,0.0151645738,70,44,0,293,0,2019,flood
FL.STN.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.สาธุประดิษฐ์ ซอย 2,105120,0.0,25.0,0.0133114536,61,16,0,4133,0,2019,flood
FL.STN.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.สวนพลู ช่วงตลาดสวนพลู,105120,0.0,22.8,0.0065182648,76,10,0,103,0,2019,flood
FL.WTL.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ลาดพร้าว ช่วงตัดถนนประดิษฐ์มนูธรรม,105120,0.0,3.6,0.0257477169,0,0,0,837,0,2019,flood
FL.WTL.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ลาดพร้าว ช่วงซอยลาดพร้าว 89,105120,0.0,15.6,0.0001484018,1,1,0,1,0,2019,flood
FL.WTL.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ซ.รามคำแหง 43/1,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.WTL.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ซ.รามคำแหง 65 (ซอยมหาดไทย),105120,0.0,30.5,0.0020709665,1,1,1,115,0,2019,flood
FL.WTN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ซ.สุขุมวิท 39 (ซอยพร้อมพงษ์),105120,0.0,29.5,0.0489783105,4,4,0,1659,0,2019,flood
FL.WTN.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.อโศกมนตรี ช่วงแยกชิโนไทย,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.BBN.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.เอกชัย ช่วงห้างบิ๊กซีบางบอน,105408,0.0,21.4,0.0299332119,134,27,0,894,0,2020,flood
FL.BBN.02,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.เอกชัย ซอย 60,105408,0.0,0.0,0.0,0,0,0,0,0,2020,flood
FL.BKA.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.พหลโยธิน ช่วงวงเวียนบางเขน,105408,0.0,9.5,0.0185659532,184,0,0,1427,0,2020,flood
FL.BKE.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.เพชรเกษม แยกวงแหวนกาญจนาภิเษก,105408,0.0,17.6,0.0059985959,50,6,0,88,0,2020,flood
FL.BKE.02,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.เพชรเกษม ช่วงซอยวัดม่วง,105408,0.0,22.9,0.0108995522,1,1,0,479,0,2020,flood
FL.BKL.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.เจริญกรุง ช่วงวัดราชสิงขร,105408,0.0,11.7,0.0016241651,15,0,0,32,0,2020,flood
FL.BKM.01,105408,2020-01-01T00:00:00.000,2020-12-31T23:55:00.000,105408,ถ.นวมินทร์ ช่วงซอย 46 (สันติอโศก),105408,0.0,18.1,0.0276553962,314,15,0,468,0,2020,flood
