target,station,pos,tp,fp,fn
ge15_3h,FL.RTW.10,16,4,4,12
ge15_3h,FL.RTW.11,24,2,3,22
ge15_3h,FL.RTW.12,14,3,4,11
ge15_3h,FL.SLG.01,0,0,6,0
ge15_3h,FL.SLG.02,0,0,0,0
ge15_3h,FL.SLG.03,57,21,8,36
ge15_3h,FL.SMI.01,141,25,25,116
ge15_3h,FL.SPW.01,0,0,5,0
ge15_3h,FL.SPW.02,0,0,0,0
ge15_3h,FL.STN.01,29,6,2,23
ge15_3h,FL.STN.02,0,0,0,0
ge15_3h,FL.STN.03,64,18,8,46
ge15_3h,FL.STN.04,0,0,0,0
ge15_3h,FL.WTL.01,0,0,1,0
ge15_3h,FL.WTL.02,0,0,1,0
ge15_3h,FL.WTL.03,0,0,0,0
ge15_3h,FL.WTL.04,18,7,2,11
ge15_3h,FL.WTN.01,3,0,0,3
ge15_3h,FL.WTN.02,0,0,0,0
ge15_3h,FL.WTN.03,0,0,0,0
ge30_3h,FL.BBN.01,0,0,25,0
ge30_3h,FL.BBN.02,0,0,24,0
ge30_3h,FL.BKA.02,0,0,5,0
ge30_3h,FL.BKE.01,0,0,2,0
ge30_3h,FL.BKE.02,0,0,16,0
ge30_3h,FL.BKM.01,15,5,103,10
ge30_3h,FL.BKM.02,0,0,15,0
ge30_3h,FL.BKN.01,0,0,22,0
ge30_3h,FL.BKN.02,0,0,4,0
ge30_3h,FL.BKP.01,0,0,7,0
ge30_3h,FL.BKP.02,0,0,11,0
ge30_3h,FL.BKT.01,0,0,6,0
ge30_3h,FL.BNA.01,0,0,17,0
ge30_3h,FL.BNA.02,0,0,15,0
ge30_3h,FL.BNA.03,0,0,40,0
ge30_3h,FL.BNA.04,0,0,69,0
ge30_3h,FL.BNA.05,0,0,196,0
ge30_3h,FL.BRK.01,0,0,6,0
ge30_3h,FL.BRK.02,0,0,4,0
ge30_3h,FL.BSU.01,0,0,0,0
ge30_3h,FL.CTC.01,0,0,28,0
ge30_3h,FL.CTC.02,0,0,74,0
ge30_3h,FL.CTC.03,24,8,63,16
ge30_3h,FL.CTC.04,0,0,81,0
ge30_3h,FL.CTC.05,0,0,75,0
ge30_3h,FL.CTC.06,0,0,24,0
ge30_3h,FL.CTC.07,36,16,78,20
ge30_3h,FL.DDG.01,0,0,28,0
ge30_3h,FL.DDG.02,26,5,50,21
ge30_3h,FL.DDG.03,0,0,14,0
ge30_3h,FL.DDG.04,0,0,4,0
ge30_3h,FL.DDG.05,0,0,21,0
ge30_3h,FL.DDG.06,0,0,12,0
ge30_3h,FL.DDG.07,0,0,23,0
ge30_3h,FL.DDG.08,0,0,22,0
ge30_3h,FL.DST.03,0,0,4,0
ge30_3h,FL.DST.04,0,0,5,0
ge30_3h,FL.DST.06,0,0,13,0
ge30_3h,FL.DST.07,0,0,4,0
ge30_3h,FL.DST.08,0,0,11,0
ge30_3h,FL.HKG.01,0,0,25,0
ge30_3h,FL.JTG.01,0,0,12,0
ge30_3h,FL.KSN.01,0,0,23,0
ge30_3h,FL.KTY.01,0,0,0,0
ge30_3h,FL.KTY.02,0,0,8,0
ge30_3h,FL.KTY.03,0,0,11,0
ge30_3h,FL.KTY.04,0,0,8,0
ge30_3h,FL.KTY.05,0,0,4,0
ge30_3h,FL.LSI.02,0,0,34,0
ge30_3h,FL.LSI.03,0,0,76,0
ge30_3h,FL.LSI.04,0,0,29,0
ge30_3h,FL.LSI.05,0,0,13,0
ge30_3h,FL.LSI.06,0,0,82,0
ge30_3h,FL.MBR.01,0,0,0,0
ge30_3h,FL.PKN.01,0,0,4,0
ge30_3h,FL.PNK.02,0,0,5,0
ge30_3h,FL.PPS.01,0,0,23,0
ge30_3h,FL.PPS.02,0,0,4,0
ge30_3h,FL.PTW.01,12,3,14,9
ge30_3h,FL.PTW.02,0,0,12,0
ge30_3h,FL.PTW.03,0,0,5,0
ge30_3h,FL.PTW.05,15,6,10,9
ge30_3h,FL.PWT.01,0,0,8,0
ge30_3h,FL.PWT.02,0,0,137,0
ge30_3h,FL.PYT.01,0,0,14,0
ge30_3h,FL.PYT.02,14,4,32,10
ge30_3h,FL.PYT.03,0,0,9,0
ge30_3h,FL.PYT.04,0,0,9,0
ge30_3h,FL.PYT.05,0,0,12,0
ge30_3h,FL.PYT.06,0,0,15,0
ge30_3h,FL.PYT.07,0,0,8,0
ge30_3h,FL.RTW.01,0,0,6,0
ge30_3h,FL.RTW.02,0,0,4,0
ge30_3h,FL.RTW.03,0,0,0,0
ge30_3h,FL.RTW.04,0,0,26,0
ge30_3h,FL.RTW.05,0,0,12,0
ge30_3h,FL.RTW.06,0,0,4,0
ge30_3h,FL.RTW.07,0,0,12,0
ge30_3h,FL.RTW.08,16,6,16,10
ge30_3h,FL.RTW.09,0,0,41,0
ge30_3h,FL.RTW.10,13,4,89,9
ge30_3h,FL.RTW.11,0,0,39,0
